Nr. crt.,Judet,20-01,21-01,22-01,23-01,24-01,25-01,26-01
1.,Alba,50,50,50,50,50,34,35
2.,Arad,54,54,54,54,54,18,47
3.,Argeș,44,44,44,44,44,20,33
4.,Bacău,73,73,73,73,73,37,67
5.,Bihor,82,82,82,82,82,36,65
6.,Bistrița-Năsăud,34,34,34,34,34,10,20
7.,Botoșani,78,78,78,78,78,35,71
8.,Brașov,150,150,150,150,150,41,132
9.,Brăila,29,29,29,29,29,6,16
10.,Buzău,16,16,16,16,16,24,14
11.,Caraș-Severin,35,35,35,35,35,22,9
12.,Călărași,26,26,26,26,26,21,15
13.,Cluj,186,186,186,186,186,234,76
14.,Constanța,121,121,121,121,121,125,76
15.,Covasna,25,25,25,25,25,7,11
16.,Dâmbovița,44,44,44,44,44,42,59
17.,Dolj,48,48,48,48,48,20,63
18.,Galați,67,67,67,67,67,44,92
19.,Giurgiu,74,74,74,74,74,3,25
20.,Gorj,28,28,28,28,28,9,31
21.,Harghita,32,32,32,32,32,19,17
22.,Hunedoara,63,63,63,63,63,17,76
23.,Ialomița,21,21,21,21,21,16,20
24.,Iași,125,125,125,125,125,58,109
25.,Ilfov,120,120,120,120,120,150,78
26.,Maramureș,64,64,64,64,64,71,133
27.,Mehedinți,13,13,13,13,13,18,19
28.,Mureș,65,65,65,65,65,23,43
29.,Neamț,58,58,58,58,58,37,55
30.,Olt,46,46,46,46,46,15,30
31.,Prahova,73,73,73,73,73,44,71
32.,Satu,73,73,73,73,73,30,59
33.,Sălaj,75,75,75,75,75,11,29
34.,Sibiu,44,44,44,44,44,53,28
35.,Suceava,114,114,114,114,114,22,112
36.,Teleorman,35,35,35,35,35,16,66
37.,Timiș,194,194,194,194,194,126,174
38.,Tulcea,15,15,15,15,15,17,12
39.,Vaslui,54,54,54,54,54,38,32
40.,Vâlcea,24,24,24,24,24,16,49
41.,Vrancea,30,30,30,30,30,9,21
42.,București,257,257,257,257,257,400,310
